hotel.name,rt.ovarll,rev.title,rev,Word count 
Fullerton,3,“Disappointed”,"The Fullerton is an impressive hotel in a great location and very willing, friendly staff but the rooms are average, business-hotel rooms with good bathrooms and zero character. We expected more.The additional club package was very good value although the cooked breakfast option was poor.I wouldn't choose to stay here again for leisure and it is too expensive for a business hotel, as there are (many) others in Singapore with similar pricing but better facilities.",151
Fullerton,3,“Business not Families”,"Have staid at the Fullerton previously for business, but came back during a Singapore stop over with the family on the back of a good two night deal that included breakfast, internet and late check out.This is a good hotel for business, but I would have reservations about taking the family back - its just not set up for that audience. Rooms are a bit small as is the pool area. Its in the CDB, so not that convenient for shopping (though Singapore is so expensive generally now that consideration is almost redundant).Another annoyance was the attempt to cancel the late check out on the basis that its \subject to availability\"" when I had a confirming email to the contrary. Sure they backed off, but the tone of the discussion was clearly a try on and at the price we were paying - even with the deal - really not on.""",53
Fullerton,1,“Old and Unkept”,"Stayed at The Fullerton Hotel as it was close to office, had some meetings in the function rooms as well. Meeting facilities look like a scary scene out of a 80s movie. Restrooms are old, spolit and dirty. Stayed at the Courtyard guestroom, you could tell from the state that rooms are old.",124
Fullerton,3,“Nice enough but not fantastic”,"A classic building, nicely renovated with a very impressive lobby area that occupies much of the ground floor. A nice location on the river, convenient location for most business and tourist purposes. The service is ok but can be a bit slow, front desk, porters, etc. In the Post Bar the staff were not very attentive and didn't know their menu or drinks well enough. The rooms are nicely furnished and quite well equipped; each one is a bit different in layout and size, and many have steps up or down once you are inside the room which would not suit everyone. I found it confusing to work out how to control the various lights and the bed side control panel had become disconnected.",327
Fullerton,3,“mixed feelings”,"arrived at the impressive looking hotel at 4pm after travelling 20hrs from UK.check in staff informed us that our room wasn't ready, could we come back in a couple of hours.i explained that we had booked 6 months ago and this was not acceptable.the lady went upstairs to check on the room, came back down to us, and repeated that the room would not be ready for a couple of hours.i asked to see the manager and explained my displeasure to him. he said he would do all that he could, but it would still be at least an hour before we could get our room. he offered us complimentary drinks and a meal, but we were too tired to accept. we sat outside and had one drink overlooking the river, then the manager came back and said the room was now ready.when we got to the room, we were very pleased to find that we had been upgraded from a courtyard room to a balcony room with a view overlooking the bay. very impressed with this room. we thought things were looking up.however when we went for breakfast the next morning, there was a 40 minute que for a table. after waiting 5 minutes, another staff member took us aside and took us to another breakfast area. waited again, before being asked if we would like a table making up in the internal courtyard area so we could eat straight away. We accepted.Breakfast on both days was dissapointing, the food seemed to be very bland without much taste.The hotel building itself is very impressive both inside and out. The location is perfect. Right on the bay, and a short walk to most areas.I feel the hotel is being poorly managed these days, living on past glory, and the staff could be better trained.i should be able to write a better review, after being given the room upgrade, but the experience at this property still felt underwhelming.",298
Fullerton,3,"“Dated rooms, mediocre service delivery”","Stayed on 20 Dec 13 in a courtyard room. Beneath its gorgeous and historic shell, the rooms are dated and the service delivery is expedient bordering impatient. First impressions: hotel was very crowded and noisy from a themed corporate dinner event. Ambience definitely not what you would expect from a luxury hotel. Check-in: staff was inflexible and impatient. Asked for late check-out, but was denied at first instance. Had to escalate to her supervisor. While I was speaking, she pushed a form and interrupted me midway to request I sign it, which I thought was rude. Essentially, I got the feeling that she wanted to process me ASAP and move on.Room: dated but clean and spacious. Bath was nicely done with separate bath and shower. Breakfast: good spread, but crowded. There was a line for breakfast, first time that I had experienced in a \luxury\"" hotel. Here's the kicker: at the traditional toast live station, i requested for a butter toast (i.e. No kaya - which is a local traditional jam). The staff immediately denied the request saying that it standard (i.e. The toast must be spread with kaya + butter). I fail to understand how challenging can it be for the staff to prepare a set without kaya. We sat al fresco, so a bird came swooping down on our breakfast when we were away. Staff Jenelyn conscientiously stood by our table to inform us when we got back, and facilitated our transfer to another table. Check-out: was a mess because of the crowd. But staff Harris handled it well. Others: bake shop staff Paul's service was sincere and friendly. Kudos. In summary, the property can have a nice exterior. But properly trained staff makes a real difference, especially when it's supposed to be a luxury hotel.""",75
Fullerton,2,“Horrible”,"We stayed at Fullerton Hotel for the first time on the 22 December. Check in was at 1 pm but did not get into the room until 4 pm, horrible with lots of guests waiting for rooms.Lots of sorry, sorry etc but the hotel did not offer to give guests anything like commentary tea / coffee!Breakfast was just as bad with a twenty minutes wait with gusts not happy waiting in queue a mile long.",218
Fullerton,3,“Nice location but utterly useless with children”,"I've stayed at the fullerton about 4 times with my first child. They are utterly useless with children. In the restaurant and they have no idea how to cater for children. You turn up with a child and have to ask (and importantly wait 5 minutes) for a baby chair, for a child's plastic plate, for a plastic spoon, for a plastic knife and so on. The concierge commented that 'my child protested a lot\ (he was 18mths). Our last visit was somewhat better (christmas time, child now nearly 3). At least they offered us children's cutlery. I still had to ask for a baby chair. On the way out, typical we had to wait for a taxi and so my 33 mth old decided to walk in and out of the door ( the turnstile one). One of the concierge (a male) told him off. When i asked what his problem was, he said he had to turn off the door (so what?! i thought seeing as we are waiting for a taxi and spent 400+ on lunch). He then told me \""to leave the hotel, he was pretty upset!\"". Perhaps we ruined his day? No problem! Rooms are pretty basic, but OK for business. I've decided that i really dislike it and won't be going back.""",268
Fullerton,2,“5 Star Hotel with 2 Star Service Experience”,"I've stayed at Fullerton Hotel several times and they were all positive, but this (21 Dec stay) was the worst! Of all the places I've travelled and hotels stayed, this is the FIRST time I have so many problems with check-in and check-out. Food and amenities were average.1. Horrible Check-in ServiceI checked-in at 4pm and had to wait half an hour for my room to be ready. Staffs were disorganized, poor communication - I wasn't informed that there was a change of room! The manager (Ryan) and his team simply explain with template responses (\high volume occupancy that caused delay, due to recent room promotions etc\""). Most guests pre-booked their rooms, so Fullerton should have known the high occupancy and should have taken steps (eg pre-arrange for additional manpower) to cater to the crowd. If they cannot handle, then don't do promotions!Ryan did service recovery by offering complimentary buffet dinner - food was so-so, I wouldn't pay to eat here.2. Fullerton cannot offer late check-outThey attributed it to the same excuses (\""high occupancy, due to recent room promotions etc\""). Even the manager (Ryan) cannot resolve this issue, which seriously makes people question the staffs capability and professionalism.Hence, when Fullerton run into issues, they put the blame on us customers - because we bought their promotions, we caused the hiccups and delays. This is simply ridiculous and it shows the sheer incompetency of the whole management team. The above are simple services and requirements a hotel ought to be competent in. Sadly, Fullerton Hotel is a disgrace SIngapore, as well as a shame to all other 5 star hotels.""",281
Fullerton,3,“Fantastic architecture but disappointing service”,"For the first time in my 20+ trips to Singapore, I stayed at The Fullerton, as my friends were getting married there. I had always had very romantic notions of The Fullerton, with its wonderful exterior and its great reputation.The hotel lobby is gorgeous and the rooms are spacious and designed to be luxurious. However, I found the rooms slightly old and run down, particularly the bathrooms. The toiletries provided were of poor quality for a 5-start hotel.I was not particularly impressed by the staff generally and the quality of inroom dining.I asked for late checkout on my last day and was informed that this would only be possible if I paid the full rate for 1 additional day (fair enough) and moved to a courtyard room. I felt rather annoyed and a bit cheated as:(i) The staff had to call me back 4 times to arrange for this(ii) They charged me a very high rate for a much worse room than the one I was originally in(iii) Having told me that I'd have to move rooms at 12:30 sharp, no one even told me which room I'd be moving to and I had to go through the circus of multiple calls to obtain the key to the new room and get someone to help me move my luggage The Fullerton is a truly beautiful hotel and their afternoon tea looked lovely. The hairdresser at the Salon de Florere was one of the best I've been to. However, I feel that the Fullerton is either poorly managed or takes its reputation for granted and feels like it doesn't need to make the effort - unlikely I will ever stay there again...",39
Fullerton,3,“World's most expensive coffee??”,"The hotel has a good location for business travellers, and the rooms are comfortable. Do not order a coffee here as whether at the lounge or at the cafe for breakfast it's over S$14 for a cup!! That's crazy.",235
Fullerton,2,“Very disappointing”,"I am visiting Singapore on business and this hotel is not my usual choice but because of close location to our client, we decided to stay. Upon arriving close to one in the morning from the airport, there were no doorman to help bring my luggages. I has to leave them outside to get help. My first room was very spacious but facing the lobby below and at 7 am, it felt like 7 pm. I requested a different room as I was going to stay for a week. They were very accommodating and give me a room facing outside of the building. Again very spacious but I have to step down vis short stairs to the bed room. Very unusual arrangement. But that was not the worst part of it. My next room neighbor was having all night party two nights in row screaming loudly and sounded like they were gambling in the room. Finally today, at 3 am I just could not stand it any longer. I called the front desk but it took them forever to come and ask my neighbor and their guests to end this so I had to do it myself. I travel very frequently in Asia and this never happened.Also the bathroom is huge but Plumbing is very shoddy and I had water leak after I took my shower. Unfortunately I will never come back here to stay.",390
Fullerton,3,“Sadly dissappointed”,"I had been wanting to stay at the Fullerton Hotel for some time and after an excellent stay at the Fullerton Bay Hotel in 2011 I was looking forward to the opportunity.Unfortunately it did not live up to expectations, whilst the stay was largely satisfactory, it is not what you would expect from a 5 star hotel with the accompanying price tag.It started at check-in with the offer from the very pleasant service staff to check if a late check out could be arranged as I had a late flight departure. She advised me she would check and message me once she had an answer one way or the other - alas this never occurred.My room was located on the 4th floor just around the corner from the elevator (Quay Room) - I arrived to find numerous chairs and a fold up table in the hall way around my room - I thought nothing of it until later in the stay when it became obvious why this continually occurred. The door directly opposite mine had a wheelchair sign on it which I initially thought nothing of - however on seeing staff exit the door the next afternoon it is not a wheelchair access point but rather the kitchen and an apparent staging area for the large conference/function room located on the 4th floor (which is booked out almost 100% of the time).This resulted in foot traffic and furniture removal noise until approximately 2300hrs both nights I stayed - not overly disturbing for me, but a potential source of annoyance to some people I am sure, along with the ever present stacks of chairs, tables and other items in the guest hallway.The room itself is unfortunately showing signs of being in need of refurbishment - many of the fixtures are showing obvious signs of damage and age and the bathroom has a somewhat liberal dosing of sealant in the shower to overcome mould and tile issues.The bed was excellent and very comfortable and the turn down staff were fantastic.The staff at the hotel are efficient and polite but seem to lack a genuine warmth - though I can understand why when you observe the way they are treated by some of the guests.All in all not a bad stay but not what I was expecting from such a well regarded hotel.",233
Fullerton,2,“Club rooms very tired and worn now”,"Date of stay 15 + 16 Oct 2013, Room 529. I am somewhat sad to be writing this review as I have often stayed at Fullerton and found it to be very good for business travel. The public areas are awesome, the gym is good and it is walking distance to CBD. However the rooms are now very worn and tired and no longer appropriate for top end business travel. I stayed this time in a Club room No 529 - the room reeked (and I mean really reeked) of mould. The nice people from housekeeping brought in two dehumidifiers and sprayed lots of Glen 20 to get rid of the smell but it didnt work. I took photos with my iPad and will try to attach those - in the bathroom on the mirror there are huge mould blooms visibly growing behind the glass, and there is mould in the shower stall. In the room the Powerpoints are coming out of the wall, and the gyprock ceiling is warped in places and showing signs of water damage. I real pity. I was there for work so I couldnt be bothered trying to move rooms as was staying only two nights, but it was pretty bad actually. If I had had my wife and kids I would have moved. I will preference staying at Mandarin Oriental or the newer Fullerton Bay next time.",135
Fullerton,3,“Perfect but Outdated”,"I have stayed a few times in this hotel and I found each room has quite different structure, which I felt quite odd time to time. I bet my room was heavily used by corporate events such as conference, so the wall was damaged and edge of mirror was broken. Furniture's quite oddly and unprofessionally painted, maybe coverup, and toiletry was not up to the level. Food was pretty decent, but I wasn't impressed with the quality of food to be honest. The concierge service was very professional and friendly, and doorman always warmly welcomed. Free limousine service (only available to the guests) was excellent but annoyed but chauffeur was quite cold. Grand hotel but lacks of details and luxury to some degree. Not a hotel I'd like to pay that much to visit again.",109
Fullerton,3,“Beautiful building in a great location. Average rooms”,"The building and location - fantastic! However, i found the rooms to not match the standard of the exterior. We got upgraded and found we were in a huge room with a large courtyard. A huge room would be great if they fitted it with enough furniture and the courtyard didn't look like a concrete jungle. They happily downgraded us back to the basic room which was much better and had a water view. The beds are comfortable. We are going back for one more night in Singapore and won't be staying here. For the price I don't think it meets the standard. The pool and gym were great.",263
Fullerton,1,“How to ruin a great stay on checkout”,"Stayed here on a business trip in July. Would have posted an EXCELLENT review if not for the treatment I received upon checkout. I stayed 3 nights and was checking out early (645AMish) on a Saturday to catch a flight back home. I did this after breakfast. When I was presented with the folio, there was a charge for a meal that I did not have. I asked for it to be removed and the front desk agent said he had to check the receipt. The receipt was nowhere to be found. His solution was that they'll look for the receipt and verify that the signature wasn't mine and will credit me if in fact it wasn't me who signed for the meal. So I said we should resolve it while I was there. Unfortunately, that wasn't possible as the department that had the receipt needed time to locate it. So I asked for a duty manager. No improvement. I pretty much felt that there was no trust at all that I was telling the truth. The fact that there was no other charges on the room but for the minibar purchase the night before that I advised them of on checkout didn't matter. The fact that I was trying to catch a flight didn't matter. So I've resolved not to use the Fullerton if at all possible. On a subsequent trip, I advised my assistant to book me in anything but the Fullerton. So I stayed at the Fairmont. Let's just say that I felt more trusted and welcomed at the Fairmont.",134
Fullerton,3,"“Pretty from outside, but feels like a prison from the room”","Stayed here for a night on a business trip. Its very close to the business district and is a very beautiful hotel. Location is also very good. Only issue was the view from the room. The base category rooms are huge in size with a brilliant bathroom. However, the view of these rooms of the lobby within the hotel. Thus its not possible to keep your curtains drawn as people from the lobby can look up. Also not suitable for a stay more than a couple of nights, as the inside view of the hotel can make you feel suffocated. If you stay here, pay a little more and get the city facing rooms. They also had a beautiful swimming pool. Did not try the food, but heard that its really good but expensive.",34
Fullerton,3,“Old hotel”,I accidentally booked the wrong hotel ( supposedly booked the Fullerton bay) and stayed here for 3 nights. Service was very good....staffs are very attentive...however I think the hotel really needs a good renovation.,188
Fullerton,2,“What a disappointment”,"When you pay a lot of money you expect high quality and high quality service. I was given a room with a large window and balcony, unfortunately there was a large brick wall on the balcony, hence no view, no point in having the window really, when I commented at reception the response was at best negative – ‘ we will give you a better room next time’, there won’t be a next time.It is supposed to be a 5 star hotel; well I’ve never had mould in the shower in a five star hotel before!My request for my morning newspaper failed as they delivered the wrong paper, the following morning it got sorted, they never bothered to deliver one at all.It is unlikely I will stay there again; there are much better options available.We were having a business meeting there, on returning to our meeting room after lunch they could not find the key to give us access, more time wasted.On check in as well as taking the full amount for the room charge they also add an additional SGD 200/ night for incidentals – very trusting!!!",386
Fullerton,3,“Great service but some things need tweaking”,"This is the third time I have stayed in the Fullerton, twice for business (6 weeks in total) and once on holiday. Don't get me wrong this is a nice hotel, in a great location (walking distance from Boat and Clark Quay) however having seen it over the years it seems a bit tired when compared to the Newer Fullerton Bay hotel, however it's an old historic building so probably to be expected.I had a courtyard facing room on the 6th floor. Positives and negatives as below:Positives - Swimming pool is really nice, although can be tricky to get a lounger on weekends. You can use the Fullerton Bay pool too which is nice and there is a free shuttle between the hotels (or you can walk under the underpass only 10 mins) - Courtyard facing rooms are bigger than those facing the bay and a lot quieter/darker so good for business travellers - Bathrooms in rooms are huge - Really good choice for breakfast (Indian, Japanese, Chinese, Western, Eggs, pastries, cereals), you never get bored, and a nice egg station with made to order - Service is good from concierge, reception and rooms cleaned well - Lobby is nice with fresh flowers everywhere and afternoon tea is meant to be good there - Gym has a good selection of kit, and modern technogym equipment with tvs. The weights are ok too (no barbells though) and has a bosu ball which is good!Negatives - Weird damp smell in hotel floors, was never sure what this was - Service at breakfast is a bit chaotic, being offered juice every 5 seconds, tables not being cleaned very promptly, drink orders sometimes forgotten - Some of the older rooms don't have many convenient plug sockets so had to scramble around trying to find somewhere to charge my phone (plugs are British ones) - Gym is ok, but so crazily hot! I asked time and time again for the air con to be adjusted and apparently they couldn't. I don't see why the gym has to be hot when the rest of the hotel is not. - Beds are rock hard, but do have a pillow menu optionI would stay here again if with work as the location is good, but would probably look elsewhere if coming for a holiday",168
Fullerton,3,“Facilities Closed”,"This is an average 5 star in a delightful old building. I think it gets so well reviewed because it is populated by persons who don't stay in hotels regularly that are celebrating birthdays, anniversaries etc. If you are used to 5 star hotels in Asia you will find the rooms average at best and a little dated.I stayed on Saturday 31st August and chose the hotel because I had invited a group of friends to meet me in the hotel's only bar - the Post Bar. Nothing was said at check-in but when I went down to make sure we could get adequate seating in the bar I found it to be closed for a private function, causing me considerable inconvenience. Hotels have function rooms and these should be the venues for private functions - not the hotels only bar. I do think hotels that sacrifice their guests in favour of extra money from non-guests do not deserve a return visit. Overall - a very disappointing stay.",126
Fullerton,1,"“The highest in price, the lowest in service”",This is the worst hotel I have ever experienced. The room they put me in had broken A/C. The room was exceedingly damp. All of my clothes were musty and moldy by the time I left. The hotel was fully booked for a conference and I could not switch rooms for 2 days. I was not offered compensation until I complained to the hotel. I was only compensated for one of the two awful nights. The service here is exceedingly poor. It took me 5 attempts and over an hour to get toast. The staff is incompetent. The gym is insufficient. The only positive is the location. The food is below average and the price for the food is expensive. I went for business. Never again.,108
Fullerton,3,“Satisfactory hotel but I expected more and better”,"The Fullerton is a very nice historical building. The service was satisfactory and the breakfast good however I was disappointed by the room: clean but old fashioned, cheaply refurbished (the yellow walls are awful) and dark (my window was accessing only on the lobby).But the worst was the Lighthouse restaurant (italian), considered as one of the \best restaurant in Singapore\"". Despite the nice view, the food was terrible and very expensive: the salad was made of not mature and not fresh ingredients, the carpaccio was fat, not thin enough and not fresh... However the bread and the pastas were decent.I think I was not lucky during this stay.""",68
